marketplace_listing_title,vehicle_exterior_color,vehicle_fuel_type,vehicle_make_display_name,vehicle_model_display_name,vehicle_transmission_type,kms,price,state,year
2017 Ford Ranger,silver,DIESEL,FORD,RANGER,AUTOMATIC,150000,30000,QLD,2017
2022 MG ZS,white,PETROL,MG,ZS,AUTOMATIC,53078,18000,QLD,2022
1992 Toyota Hilux,purple,PETROL,TOYOTA,HILUX,AUTOMATIC,25500,4000,QLD,1992
2009 Toyota Crown Athlete GRS204,grey,PETROL,TOYOTA,CROWN,AUTOMATIC,73000,16250,QLD,2009
2003 Toyota Camry,blue,PETROL,TOYOTA,CAMRY,AUTOMATIC,177600,4800,QLD,2003
2014 Toyota kluger,gold,PETROL,TOYOTA,KLUGER,AUTOMATIC,214000,18000,QLD,2014
2022 Suzuki Vitara,turquoise,PETROL,SUZUKI,VITARA,MANUAL,47000,22950,QLD,2022
2019 Mercedes-Benz A180,black,PETROL,MERCEDES-BENZ,A-CLASS,AUTOMATIC,85000,29200,QLD,2019
2013 Holden cruze,black,PETROL,HOLDEN,CRUZE,AUTOMATIC,171117,7000,QLD,2013
1972 Ford Fairmont,red,PETROL,FORD,FAIRMONT,MANUAL,10000,195000,QLD,1972
2023 Mazda BT-50,black,DIESEL,MAZDA,BT-50,MANUAL,53200,55000,QLD,2023
2012 Ford Ranger,white,DIESEL,FORD,RANGER,MANUAL,180067,20000,QLD,2012
2020 Volkswagen Tiguan,white,PETROL,VOLKSWAGEN,TIGUAN,AUTOMATIC,70800,22888,QLD,2020
2015 Hyundai Tucson,black,PETROL,HYUNDAI,TUCSON,AUTOMATIC,211000,18881,QLD,2015
2012 Hyundai i30,silver,PETROL,HYUNDAI,I30,AUTOMATIC,118000,9999,QLD,2012
2020 Isuzu D-Max,silver,DIESEL,ISUZU,D-MAX,AUTOMATIC,219000,38000,QLD,2020
2010 Toyota Corolla,silver,PETROL,TOYOTA,COROLLA,MANUAL,303000,4500,QLD,2010
2019 Ford Ranger extra cab 4x4 automatic NO DEPOSIT FINANCE FROM $110 per week,white,DIESEL,FORD,RANGER,AUTOMATIC,297057,21999,QLD,2019
2019 Volkswagen Polo,black,OTHER,VOLKSWAGEN,POLO,AUTOMATIC,66360,14000,QLD,2019
2016 Nissan XTRAIL ST 4WD AUTO REGO&RWC ,blue,PETROL,NISSAN,XTRAIL ST 4WD AUTO REGO&RWC,AUTOMATIC,151545,10900,QLD,2016
2016 Honda Odyssey,white,DIESEL,HONDA,ODYSSEY,AUTOMATIC,220000,8900,QLD,2016
2010 Ford Mondeo,brown,PETROL,FORD,MONDEO,AUTOMATIC,215000,7000,QLD,2010
2011 Kia Cerato,silver,PETROL,KIA,CERATO,AUTOMATIC,229900,4099,QLD,2011
"2021 Toyota yaris mxpa10r ascent sport hatchback 5dr cvt 1sp, 1.5i",white,PETROL,TOYOTA,YARIS,AUTOMATIC,27887,17990,QLD,2021
2011 Ford Fiesta,silver,PETROL,FORD,FIESTA,AUTOMATIC,166000,5900,QLD,2011
2017 Ford Focus,white,PETROL,FORD,FOCUS,AUTOMATIC,43493,16000,QLD,2017
2011 Nissan 370Z,silver,OTHER,NISSAN,370Z,MANUAL,167000,23900,QLD,2011
2017 Mitsubishi Triton ,silver,DIESEL,MITSUBISHI,TRITON,AUTOMATIC,186663,23999,QLD,2017
2001 Nissan patrol ute,white,DIESEL,NISSAN,PATROL,AUTOMATIC,46000,52000,QLD,2001
2007 Toyota Hilux,white,PETROL,TOYOTA,HILUX,AUTOMATIC,19100,22500,QLD,2007
2016 FIAT Ducato,white,OTHER,FIAT,DUCATO,AUTOMATIC,182000,23000,QLD,2016
2005 Nissan Patrol,blue,DIESEL,NISSAN,PATROL,MANUAL,425000,35000,QLD,2005
2014 Toyota Hilux,white,DIESEL,TOYOTA,HILUX,MANUAL,239500,19750,QLD,2014
2015 Hyundai Tucson,red,PETROL,HYUNDAI,TUCSON,AUTOMATIC,278469,10500,QLD,2015
2013 Volkswagen Golf,silver,PETROL,VOLKSWAGEN,GOLF,AUTOMATIC,202153,7650,QLD,2013
2014 Ford Focus,grey,PETROL,FORD,FOCUS,AUTOMATIC,174000,9000,QLD,2014
2008 Nissan Navara,red,DIESEL,NISSAN,NAVARA,MANUAL,230000,9700,QLD,2008
2011 Nissan Navara,burgundy,DIESEL,NISSAN,NAVARA,MANUAL,305000,6000,QLD,2011
1998 Ford Falcon,white,PETROL,FORD,FALCON,AUTOMATIC,311680,5500,QLD,1998
2011 Audi A1,black,DIESEL,AUDI,A1,MANUAL,92500,10200,QLD,2011
2013 Holden Commodore,blue,PETROL,HOLDEN,COMMODORE,MANUAL,35000,48000,QLD,2013
2018 Ford raptor,grey,DIESEL,FORD,RAPTOR,AUTOMATIC,160000,48000,QLD,2018
2013 Ford Fiesta,silver,PETROL,FORD,FIESTA,AUTOMATIC,72000,10300,QLD,2013
2006 Subaru Impreza,silver,PETROL,SUBARU,IMPREZA,MANUAL,224005,3800,QLD,2006
2025 Toyota RAV4,grey,HYBRID,TOYOTA,RAV4,AUTOMATIC,600,58000,QLD,2025
2014 Volkswagen Jetta,gold,PETROL,VOLKSWAGEN,JETTA,AUTOMATIC,131000,9490,QLD,2014
2016 Land Rover Discovery Sport,white,PETROL,LAND-ROVER,DISCOVERY SPORT,AUTOMATIC,134500,22000,QLD,2016
2015 Kia Sorento,grey,DIESEL,KIA,SORENTO,AUTOMATIC,129835,21490,QLD,2015
2007 Nissan Patrol,white,DIESEL,NISSAN,PATROL,MANUAL,269000,14000,QLD,2007
2021 Nissan navara np300,grey,DIESEL,NISSAN,NAVARA,AUTOMATIC,52000,48000,QLD,2021
2011 Holden Ute,silver,OTHER,HOLDEN,UTE,MANUAL,133000,14000,QLD,2011
2002 Toyota Corolla,white,PETROL,TOYOTA,COROLLA,AUTOMATIC,136800,3400,QLD,2002
2007 Holden Astra,black,PETROL,HOLDEN,ASTRA,AUTOMATIC,181000,2500,QLD,2007
2018 Ford Mustang,blue,PETROL,FORD,MUSTANG,MANUAL,102000,55000,QLD,2018
2014 Audi A5,black,OTHER,AUDI,A5,AUTOMATIC,85800,19900,QLD,2014
2018 Audi A3 40TFSI S-LINE QUATTRO 2.0L TURBO AUTO MY19 3 YEARS WARRANTY,white,PETROL,AUDI,A3,AUTOMATIC,103000,25000,QLD,2018
2006 Hyundai Getz,red,PETROL,HYUNDAI,GETZ,MANUAL,230363,3500,QLD,2006
2012 Mazda CX-9,turquoise,PETROL,MAZDA,CX-9,AUTOMATIC,220000,4700,QLD,2012
2008 Hyundai Tucson,blue,OTHER,HYUNDAI,TUCSON,AUTOMATIC,200000,4800,QLD,2008
2015 Ford Ranger,blue,DIESEL,FORD,RANGER,AUTOMATIC,260677,20000,QLD,2015
2011 BMW X1,white,DIESEL,BMW,X1,AUTOMATIC,215000,7000,NSW,2011
1982 Holden Commodore,green,PETROL,HOLDEN,COMMODORE,AUTOMATIC,161000,9000,NSW,1982
2018 Mitsubishi ASX,blue,PETROL,MITSUBISHI,ASX,AUTOMATIC,60000,20000,SA,2018
2017 Mazda CX-5,white,PETROL,MAZDA,CX-5,AUTOMATIC,90000,25000,NSW,2017
2014 Nissan MURANO Ti WAGON,grey,PETROL,NISSAN,MURANO,AUTOMATIC,219617,7990,SA,2014
2018 Toyota Corolla,silver,HYBRID,TOYOTA,COROLLA,AUTOMATIC,240000,14500,SA,2018
2022 Ford Courier,white,DIESEL,FORD,COURIER,AUTOMATIC,87000,34000,SA,2022
2012 Volkswagen Passat,grey,PETROL,VOLKSWAGEN,PASSAT,AUTOMATIC,153000,11600,SA,2012
2020 Volkswagen AMAROK TDI580 ULTIMATE 4x4 Auto,black,DIESEL,VOLKSWAGEN,AMAROK,AUTOMATIC,128089,44990,SA,2020
2019 Toyota Hiace,white,DIESEL,TOYOTA,HIACE,MANUAL,115000,43000,SA,2019
2022 Jeep gladiator,grey,PETROL,JEEP,GLADIATOR,AUTOMATIC,82000,62000,SA,2022
2009 Toyota Kluger,silver,PETROL,TOYOTA,KLUGER,AUTOMATIC,237000,8500,SA,2009
1977 Ford F-150,red,PETROL,FORD,F-150,AUTOMATIC,89965,35000,SA,1977
